ID_kod,PKWiU,CN
997,10.51.51,
998,10.51.51.0,
999,10.51.52,
1000,10.51.52.0,
1001,10.51.53,
1002,10.51.53.0,
1003,10.51.54,
1004,10.51.54.0,
1005,10.51.55,
1006,10.51.55.0,
1007,10.51.56,
1008,10.51.56.0,
1009,10.51.9,
1010,10.51.99,
1011,10.51.99.0,
1012,10.52,
1013,10.52.1,
1014,10.52.10,
1015,10.52.10.0,
1016,10.52.9,
1017,10.52.99,
1018,10.52.99.0,
1019,10.6,
1020,10.61,
1021,10.61.1,
1022,10.61.11,
1023,10.61.11.0,
1024,10.61.12,
1025,10.61.12.0,
1026,10.61.2,
1027,10.61.21,
1028,10.61.21.0,
1029,10.61.22,
1030,10.61.22.0,
1031,10.61.23,
1032,10.61.23.0,
1033,10.61.24,
1034,10.61.24.0,
1035,10.61.3,
1036,10.61.31,
1037,10.61.31.0,
1038,10.61.32,
1039,10.61.32.0,
1040,10.61.33,
1041,10.61.33.0,
1042,10.61.4,
1043,10.61.40,
1044,10.61.40.0,
1045,10.61.9,
1046,10.61.99,
1047,10.61.99.0,
1048,10.62,
1049,10.62.1,
1050,10.62.11,
1051,10.62.11.0,
1052,10.62.12,
1053,10.62.12.0,
1054,10.62.13,
1055,10.62.13.0,
1056,10.62.14,
1057,10.62.14.0,
1058,10.62.2,
1059,10.62.20,
1060,10.62.20.0,
1061,10.62.9,
1062,10.62.99,
1063,10.62.99.0,
1064,10.7,
1065,10.71,
1066,10.71.1,
1067,10.71.11,
1068,10.71.11.0,
1069,10.71.12,
1070,10.71.12.1,
1071,10.71.12.9,
1072,10.71.9,
1073,10.71.99,
1074,10.71.99.0,
1075,10.72,
1076,10.72.1,
1077,10.72.11,
1078,10.72.11.0,
1079,10.72.12,
1080,10.72.12.0,
1081,10.72.19,
1082,10.72.19.0,
1083,10.72.9,
1084,10.72.99,
1085,10.72.99.0,
1086,10.73,
1087,10.73.1,
1088,10.73.11,
1089,10.73.11.0,
1090,10.73.12,
1091,10.73.12.0,
1092,10.73.9,
1093,10.73.99,
1094,10.73.99.0,
1095,10.8,
1096,10.81,
1097,10.81.1,
1098,10.81.11,
1099,10.81.11.0,
1100,10.81.12,
1101,10.81.12.0,
1102,10.81.13,
1103,10.81.13.0,
1104,10.81.14,
1105,10.81.14.0,
1106,10.81.2,
1107,10.81.20,
1108,10.81.20.0,
1109,10.81.9,
1110,10.81.99,
1111,10.81.99.0,
1112,10.82,
1113,10.82.1,
1114,10.82.11,
1115,10.82.11.0,
1116,10.82.12,
1117,10.82.12.0,
1118,10.82.13,
1119,10.82.13.0,
1120,10.82.14,
1121,10.82.14.0,
1122,10.82.2,
1123,10.82.21,
1124,10.82.21.0,
1125,10.82.22,
1126,10.82.22.0,
1127,10.82.23,
1128,10.82.23.0,
1129,10.82.24,
1130,10.82.24.0,
1131,10.82.3,
1132,10.82.30,
1133,10.82.30.0,
1134,10.82.9,
1135,10.82.99,
1136,10.82.99.0,
1137,10.83,
1138,10.83.1,
1139,10.83.11,
1140,10.83.11.0,
1141,10.83.12,
1142,10.83.12.0,
1143,10.83.13,
1144,10.83.13.0,
1145,10.83.14,
1146,10.83.14.0,
1147,10.83.15,
1148,10.83.15.0,
1149,10.83.9,
1150,10.83.99,
1151,10.83.99.0,
1152,10.84,
1153,10.84.1,
1154,10.84.11,
1155,10.84.11.0,
1156,10.84.12,
1157,10.84.12.0,
1158,10.84.2,
1159,10.84.21,
1160,10.84.21.0,
1161,10.84.22,
1162,10.84.22.0,
1163,10.84.23,
1164,10.84.23.0,
1165,10.84.3,
1166,10.84.30,
1167,10.84.30.0,
1168,10.84.9,
1169,10.84.99,
1170,10.84.99.0,
1171,10.85,
1172,10.85.1,
1173,10.85.11,
1174,10.85.11.0,
1175,10.85.12,
1176,10.85.12.0,
1177,10.85.13,
1178,10.85.13.0,
1179,10.85.14,
1180,10.85.14.0,
1181,10.85.19,
1182,10.85.19.0,
1183,10.85.9,
1184,10.85.99,
1185,10.85.99.0,
1186,10.86,
1187,10.86.1,
1188,10.86.10,
1189,10.86.10.0,
1190,10.86.9,
1191,10.86.99,
1192,10.86.99.0,
1193,10.89,
1194,10.89.1,
1195,10.89.11,
1196,10.89.11.0,
1197,10.89.12,
1198,10.89.12.0,
1199,10.89.13,
1200,10.89.13.0,
1201,10.89.14,
1202,10.89.14.0,
1203,10.89.15,
1204,10.89.15.0,
1205,10.89.16,
1206,10.89.16.0,
1207,10.89.17,
1208,10.89.17.0,
1209,10.89.19,
1210,10.89.19.0,
1211,10.89.9,
1212,10.89.99,
1213,10.89.99.0,
1214,10.9,
1215,10.91,
1216,10.91.1,
1217,10.91.10,
1218,10.91.10.0,
1219,10.91.2,
1220,10.91.20,
1221,10.91.20.0,
1222,10.91.9,
1223,10.91.99,
1224,10.91.99.0,
1225,10.92,
1226,10.92.1,
1227,10.92.10,
1228,10.92.10.0,
1229,10.92.9,
1230,10.92.99,
1231,10.92.99.0,
1232,11,
1233,11.0,
1234,11.01,
1235,11.01.1,
1236,11.01.10,
1237,11.01.10.0,
1238,11.01.9,
1239,11.01.99,
1240,11.01.99.0,
1241,11.02,
1242,11.02.1,
1243,11.02.11,
1244,11.02.11.0,
1245,11.02.12,
1246,11.02.12.0,
1247,11.02.2,
1248,11.02.20,
1249,11.02.20.0,
1250,11.02.9,
1251,11.02.99,
1252,11.02.99.0,
